model_id,status,checkpoint,dtype,requested_image_size,cold_inference_seconds,warm_inference_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes,sample_id,split
yolo11n,passed,weights/yolo/yolo11n.pt,float16,512,1.8613,0.0444,51671552,73400320,cif_0001,train
yolo11n_seg,passed,weights/yolo/yolo11n-seg.pt,float16,512,1.9362,0.0512,61841408,73400320,cif_0001,train
resnet50,passed,weights/resnet/resnet50-11ad3fa6.pth,float16,224,0.2765,0.0276,66629120,79691776,cif_0001,train
sam2_1_hiera_tiny,passed,weights/sam2.1-hiera-tiny,float16,1024,1.165,0.7371,286328832,371195904,cif_0001,train
florence_2_base_ft,passed,weights/florence-community-2-base-ft,float16,"[1024, 1024]",1.7684,1.2619,657961472,692060160,cif_0001,train
florence_2_large_ft,passed,weights/florence-community-2-large-ft,float16,"[1024, 1024]",4.9154,4.4874,1895186944,1939865600,cif_0001,train
